party,partyLabel,colorLabel
http://www.wikidata.org/entity/Q4925295,Gondwana Ganatantra Party,violet
http://www.wikidata.org/entity/Q28219468,Grassroots Democracy Party,dark green
http://www.wikidata.org/entity/Q2575147,Guadeloupe Communist Party,red
http://www.wikidata.org/entity/Q339706,Hadash,red
http://www.wikidata.org/entity/Q2917054,Hapoel HaMizrachi,steel blue
http://www.wikidata.org/entity/Q5653294,Hapu Party,sepia
http://www.wikidata.org/entity/Q5677946,Haryana Janhit Congress,yellow
http://www.wikidata.org/entity/Q1588993,Hats,navy blue
http://www.wikidata.org/entity/Q20310838,Hindustani Awam Morcha,red
http://www.wikidata.org/entity/Q2948615,Hlavu vzhůru – volební blok,red
http://www.wikidata.org/entity/Q5888672,Home Rule Party of Hawaii,Rosso corsa
http://www.wikidata.org/entity/Q23062,Hong Kong Federation of Trade Unions,red
http://www.wikidata.org/entity/Q16924556,Hong Kong People's Association,light turquoise
http://www.wikidata.org/entity/Q1857742,Human Rights Party,dark green
http://www.wikidata.org/entity/Q1256720,Human Rights Protection Party,cobalt blue
http://www.wikidata.org/entity/Q1536126,Humanist Party,orange
http://www.wikidata.org/entity/Q2453205,Humanist Party of Solidarity,copper
http://www.wikidata.org/entity/Q1051742,Hungarian Justice and Life Party,gold
http://www.wikidata.org/entity/Q1162207,Hungarian Radical Party,raspberry
http://www.wikidata.org/entity/Q832920,Hungarian Two-tailed Dog Party,grey
http://www.wikidata.org/entity/Q584730,Hungarian Workers' Party,maroon
http://www.wikidata.org/entity/Q572015,Icelandic Movement – Living Country,steel blue
http://www.wikidata.org/entity/Q5989113,Idle Toad,crimson
http://www.wikidata.org/entity/Q3522458,Illankai Tamil Arasu Kachchi,yellow
http://www.wikidata.org/entity/Q12714206,Imperial British Conservative Party,dark blue
http://www.wikidata.org/entity/Q602131,Independent Democratic Union,dark blue
http://www.wikidata.org/entity/Q10494861,Independent Fianna Fáil,chartreuse
http://www.wikidata.org/entity/Q529666,Independent Greeks,cyan
http://www.wikidata.org/entity/Q1507913,Independent Labour Party,firebrick
http://www.wikidata.org/entity/Q2915434,Independent Liberals,gold
http://www.wikidata.org/entity/Q1798258,Independent Party,International Klein Blue
http://www.wikidata.org/entity/Q1624802,Independent Party,indigo
http://www.wikidata.org/entity/Q5656224,Independent Popular Action,forest green
http://www.wikidata.org/entity/Q17080573,Independent Republican Party,cyan
http://www.wikidata.org/entity/Q1006287,"Independent Smallholders, Agrarian Workers and Civic Party",olive
http://www.wikidata.org/entity/Q17041921,Independent Socialist Party,sandy brown
http://www.wikidata.org/entity/Q15980516,Independent Working Class Association,Bondi blue
http://www.wikidata.org/entity/Q13111739,Indian Congress (Socialist),green
http://www.wikidata.org/entity/Q6023135,Indiana Democratic Party,blue
http://www.wikidata.org/entity/Q10480355,Industry Party,grey
http://www.wikidata.org/entity/Q654444,Inkatha Freedom Party,red
http://www.wikidata.org/entity/Q945717,Internal Macedonian Revolutionary Organization – Democratic Party for Macedonian National Unity,Rosso corsa
http://www.wikidata.org/entity/Q833748,Intransigent Radical Civic Union,grey
http://www.wikidata.org/entity/Q56703242,Iran Revival,turquoise
http://www.wikidata.org/entity/Q1424473,Iraqi Turkmen Front,vivid sky blue
http://www.wikidata.org/entity/Q153448,Iron Guard,sea green
http://www.wikidata.org/entity/Q3896787,Italian Labour Party,red
http://www.wikidata.org/entity/Q1427066,Italian Nationalist Association,dark blue
http://www.wikidata.org/entity/Q1450384,Italian Radicals,gold
http://www.wikidata.org/entity/Q3896813,Italian Revolutionary Socialist Party,dark red
http://www.wikidata.org/entity/Q281745,Italian Socialist Party,crimson
http://www.wikidata.org/entity/Q47768,Italy of Values,light orange
http://www.wikidata.org/entity/Q19895457,Ittihad Party,cornflower blue
http://www.wikidata.org/entity/Q1422092,Ivorian Popular Front,blue
http://www.wikidata.org/entity/Q22079682,Jacqui Lambie Network,yellow
http://www.wikidata.org/entity/Q6737570,Jamiat Ulama-e-Islam Nazryati,cyan
http://www.wikidata.org/entity/Q13211655,Jamiat Ulema-e-Islam,dim gray
http://www.wikidata.org/entity/Q1682547,Janata Dal,sea green
http://www.wikidata.org/entity/Q1601619,Janata Dal (Secular),India green
http://www.wikidata.org/entity/Q913168,Jathika Hela Urumaya,light orange
http://www.wikidata.org/entity/Q6164561,Jathika Nidahas Peramuna,gold
http://www.wikidata.org/entity/Q2902739,Jewish Party,Israel blue
http://www.wikidata.org/entity/Q3273397,Jharkhand Mukti Morcha,Persian red
http://www.wikidata.org/entity/Q6246716,John Marek Independent Party,white
http://www.wikidata.org/entity/Q6246716,John Marek Independent Party,lithopone white
http://www.wikidata.org/entity/Q6315470,Jury Team,slate gray
http://www.wikidata.org/entity/Q487520,Justice Party,Mandarin orange
http://www.wikidata.org/entity/Q19077,Justice and Development Party,Mandarin orange
http://www.wikidata.org/entity/Q1142687,KDU-ČSL,gold
http://www.wikidata.org/entity/Q257787,Kabaka Yekka,cobalt blue
http://www.wikidata.org/entity/Q6343824,Kabalikat ng Malayang Pilipino,dark blue
http://www.wikidata.org/entity/Q331852,Kach and Kahane Chai,gold
http://www.wikidata.org/entity/Q17063157,Kamgar Kisan Paksha,red
http://www.wikidata.org/entity/Q18126559,Kangleipak Communist Party,red
http://www.wikidata.org/entity/Q6401862,Khmer Anti-Poverty Party,turquoise
http://www.wikidata.org/entity/Q625109,Korean National Party,navy blue
http://www.wikidata.org/entity/Q1357724,Koruna česká,dark blue
http://www.wikidata.org/entity/Q23731823,La République En Marche,gold
http://www.wikidata.org/entity/Q6466746,Laban ng Makabayang Masang Pilipino,light orange
http://www.wikidata.org/entity/Q15863879,Labor Party,crimson
http://www.wikidata.org/entity/Q6467395,Labour Coalition,indian red
http://www.wikidata.org/entity/Q6467409,Labour Electoral Association,firebrick
http://www.wikidata.org/entity/Q503614,Labour Party,Rosso corsa
http://www.wikidata.org/entity/Q3136263,Labour Party,red
http://www.wikidata.org/entity/Q6467449,Labour Party,buff
http://www.wikidata.org/entity/Q21942488,Labour Representation Committee,firebrick
http://www.wikidata.org/entity/Q6474565,Lakas ng Bayan,yellow
http://www.wikidata.org/entity/Q6487159,Lanka Prajathanthravadi Pakshaya,blue
http://www.wikidata.org/entity/Q2716578,Lanka Sama Samaja Party,red
http://www.wikidata.org/entity/Q6516779,Left,red
http://www.wikidata.org/entity/Q6516886,Left Liberation Front,red
http://www.wikidata.org/entity/Q922707,Left Party,blood red
http://www.wikidata.org/entity/Q919883,Left Socialist-Revolutionaries,red
http://www.wikidata.org/entity/Q286140,"Left, Ecology and Freedom",red
http://www.wikidata.org/entity/Q47750,Lega Nord,navy blue
http://www.wikidata.org/entity/Q14545694,Liaison Committee for the Presidential Majority,cobalt blue
http://www.wikidata.org/entity/Q15984913,Liberal Democrat Party of Chile,gold
http://www.wikidata.org/entity/Q6540635,Liberal Democratic Party,orange
http://www.wikidata.org/entity/Q683845,Liberal Democratic Party,yellow
